,Lemmatized_Words
31,"['telling', 'people']"
3,"['really', 'wrong', 'avp', 'incredible', 'piece', 'tech', 'ive', 'ever', 'used']"
52,"['feels', 'like', 'start', 'technodystopian', 'cyberpunk', 'future', 'shut', 'take']"
17,"['multiple', 'displays', 'coming', 'avp']"
8,"['forgetting', 'body']"
6,"['breaking', 'news', 'local', 'man', 'paralyzed', 'indecision', 'seeks', 'approval', 'internet', 'strangers', 'apple', 'vision', 'pro', 'dilemma']"
40,"['cant', 'vision', 'pro']"
4,"['apple', 'vision', 'pro', 'best', 'thing', 'happen', 'movies', 'since', 'popcorn']"
43,['painless']
19,"['know', 'mean']"
34,"['best', 'movies', 'far']"
58,"['got', 'one']"
25,"['dear', 'tim']"
56,"['first', 'meme']"
15,"['released', 'first', 'vision', 'pro', 'app', 'sticky', 'vision']"
27,['succeed']
9,"['imax', 'app']"
30,"['splitscreen', 'available', 'lets', 'add', 'second', 'mac', 'display', 'vision', 'pro']"
26,"['upvote', 'reading', 'avp']"
16,"['miracles', 'sins', 'avp']"
24,"['avp', 'first', 'apple', 'device', 'ever']"
55,"['lack', 'immersive', 'content']"
11,"['folks', 'know', 'whats', 'coming', 'right']"
32,"['small', 'features', 'youve', 'discovered', 'using', 'apple', 'vision', 'pro']"
53,"['demo', 'amazing']"
41,"['else', 'wore', 'basically', 'whole', 'saturday']"
37,"['wishlist', 'nearfuture', 'visionos', 'updates']"
29,"['ive', 'compiled', 'list', 'interesting', 'tidbits', 'findings', 'reviews', 'released', 'today']"
44,"['comment', 'young', 'kids', 'soon', 'parents']"
1,"['expensive', 'regrets']"
21,"['happening', 'native', 'apps', 'launch', 'apple', 'vision', 'pro']"
2,"['ruin', 'movie', 'library']"
47,"['wow', 'future']"
39,"['feb', 'nd', 'christmas', 'us']"
35,"['feel', 'like', 'tony', 'starks', 'every', 'time', 'im', 'using', 'avp']"
23,"['phenomenal', 'review', 'david', 'heaney']"
49,"['huge', 'safari', 'update']"
10,"['apple', 'vision', 'pro', 'stolen']"
22,"['saw', 'dune', 'true', 'imax', 'disappointed']"
18,"['im', 'keeping']"
59,"['many', 'fence', 'purchasing', 'return']"
20,"['mind', 'blown', 'away']"
7,"['absolutely', 'magical', 'words']"
42,"['kuo', 'estimates', 'apple', 'sold', 'vision', 'pro', 'units', 'opening', 'preorder', 'weekend']"
14,"['really', 'want', 'keep']"
28,"['decision', 'made', 'im', 'keeping']"
51,"['vision', 'pro', 'app', 'development', 'goes', 'hard']"
38,['disappointed']
